arch-install-scripts 29-1
baobab 48.0-3
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez-utils 5.83-1
brightnessctl 0.5.1-3
chromium-widevine 1:4.10.2891.0-1
claude-code 1.0.31-1
decibels 48.0-1
docker 1:28.3.2-1
dosfstools 4.2-5
epiphany 48.5-1
evince 48.1-1
evtest 1.35-2
firefox 140.0.4-1
gdm 48.0-2
git 2.50.1-3
github-cli 2.76.0-1
gnome-backgrounds 48.2.1-1
gnome-calculator 48.1-2
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-6
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.3-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-2
gnome-maps 48.5-1
gnome-menus 3.36.0-3
gnome-music 1:48.0-1
gnome-remote-desktop 48.1-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.3-1
gnome-shell-extensions 48.3-2
gnome-software 48.3-1
gnome-system-monitor 48.1-1
gnome-text-editor 48.3-1
gnome-tour 48.1-1
gnome-user-docs 48.2-1
gnome-user-share 48.1-1
gnome-weather 48.0-2
grilo-plugins 1:0.3.18-1
grim 1.5.0-1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-onedrive 1.57.2-4
gvfs-smb 1.57.2-4
gvfs-wsdd 1.57.2-4
hypridle 0.1.6-6
hyprland 0.50.0-1
hyprlock 0.9.0-1
hyprpaper 0.7.5-3
i3lock 2.15-3
kitty 0.42.2-1
libinput-gestures 2.80-1
linux 6.15.7.arch1-1
linux-firmware 20250708-1
loupe 48.1-1
mako 1.10.0-1
malcontent 0.13.0-1
mesa-utils 9.0.0-7
nano 8.5-1
nautilus 48.3-1
network-manager-applet 1.36.0-1
networkmanager 1.52.1-1
nodejs 24.4.1-1
npm 11.4.2-1
orca 48.6-1
pamixer 1.6-3
polkit-gnome 0.105-11
python-flask 3.1.1-1
python-markdown 3.8.2-1
rygel 1:0.44.2-3
simple-scan 48.1-1
slock 1.5-3
slurp 1.5.0-1
snapshot 48.0.1-1
sudo 1.9.17.p1-1
sushi 46.0-2
swaybg 1.2.1-1
swayidle 1.8.0-2
swaylock 1.8.2-1
tecla 48.0.2-1
thunar 4.20.4-1
totem 43.2-1
tree 2.2.1-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
udiskie 2.5.7-1
visual-studio-code-bin 1.101.1-1
vulkan-tools 1.4.321.0-1
warp-terminal v0.2025.07.09.08.11.stable_01-1
waybar 0.13.0-3
wev 1.1.0-1
wget 1.25.0-2
wl-clipboard 1:2.2.1-3
wofi 1.4.1-1
xbindkeys 1.8.7-5
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-hyprland 1.3.9-11
xdg-user-dirs-gtk 0.14-1
xorg-xbacklight 1.2.4-1
xorg-xev 1.2.6-1
yay 12.5.0-1
yay-debug 12.5.0-1
yelp 42.3-1
